,London,Bristol,Liverpool,Manchester,Newcastle,Birmingham,Sheffield,start,end,birth_per_cap
803,200,11,39,13,6,27,11,1978-10-21,1978-11-04,0.0004608846153846154
804,193,9,34,16,2,27,9,1978-11-04,1978-11-18,0.0004608846153846154
805,215,5,32,25,5,13,13,1978-11-18,1978-12-02,0.0004608846153846154
806,182,7,41,28,13,11,10,1978-12-02,1978-12-16,0.0004608846153846154
807,147,10,34,27,16,18,2,1978-12-16,1978-12-30,0.0004608846153846154
808,231,14,44,40,13,15,13,1978-12-30,1979-01-13,0.0004608846153846154
809,154,8,44,45,13,23,6,1979-01-13,1979-01-27,0.0004671923076923077
810,190,6,51,51,5,27,13,1979-01-27,1979-02-10,0.0004671923076923077
811,210,8,55,48,9,35,13,1979-02-10,1979-02-24,0.0004671923076923077
812,223,2,65,81,9,23,14,1979-02-24,1979-03-10,0.0004671923076923077
813,215,2,85,80,6,30,11,1979-03-10,1979-03-24,0.0004671923076923077
814,218,3,114,64,9,29,13,1979-03-24,1979-04-07,0.0004671923076923077
815,223,6,86,99,7,25,15,1979-04-07,1979-04-21,0.0004671923076923077
816,349,6,131,88,9,31,32,1979-04-21,1979-05-05,0.0004671923076923077
817,309,19,75,96,11,28,13,1979-05-05,1979-05-19,0.0004671923076923077
818,268,10,173,86,10,38,19,1979-05-19,1979-06-02,0.0004671923076923077
819,341,7,150,133,10,56,20,1979-06-02,1979-06-16,0.0004671923076923077
820,411,4,149,63,9,68,22,1979-06-16,1979-06-30,0.0004671923076923077
821,331,7,133,47,19,60,26,1979-06-30,1979-07-14,0.0004671923076923077
822,454,12,131,53,16,136,30,1979-07-14,1979-07-28,0.0004671923076923077
823,466,4,102,34,18,113,36,1979-07-28,1979-08-11,0.0004671923076923077
824,357,9,42,31,11,71,14,1979-08-11,1979-08-25,0.0004671923076923077
825,201,7,37,17,4,59,15,1979-08-25,1979-09-08,0.0004671923076923077
826,182,5,29,10,2,31,6,1979-09-08,1979-09-22,0.0004671923076923077
827,184,2,27,10,10,34,14,1979-09-22,1979-10-06,0.0004671923076923077
828,221,2,14,17,4,53,23,1979-10-06,1979-10-20,0.0004671923076923077
829,250,11,35,12,11,56,6,1979-10-20,1979-11-03,0.0004671923076923077
830,278,9,27,12,6,92,17,1979-11-03,1979-11-17,0.0004671923076923077
831,307,12,25,16,16,122,14,1979-11-17,1979-12-01,0.0004671923076923077
832,356,8,17,16,9,158,13,1979-12-01,1979-12-15,0.0004671923076923077
833,223,10,9,5,8,146,23,1979-12-15,1979-12-29,0.0004671923076923077
834,568,74,31,22,32,346,20,1979-12-29,1980-01-12,0.0004671923076923077
835,401,22,19,8,18,236,19,1980-01-12,1980-01-26,0.0004735
836,505,71,21,13,15,303,25,1980-01-26,1980-02-09,0.0004735
837,834,79,22,13,29,519,41,1980-02-09,1980-02-23,0.0004735
838,889,100,23,17,23,586,34,1980-02-23,1980-03-08,0.0004735
839,1049,113,19,13,22,228,38,1980-03-08,1980-03-22,0.0004735
840,1156,118,29,24,34,514,43,1980-03-22,1980-04-05,0.0004735
841,1260,108,32,45,37,474,38,1980-04-05,1980-04-19,0.0004735
842,1067,101,20,40,40,299,48,1980-04-19,1980-05-03,0.0004735
843,872,113,32,18,20,202,39,1980-05-03,1980-05-17,0.0004735
844,1045,116,49,27,25,190,35,1980-05-17,1980-05-31,0.0004735
845,1092,140,71,30,24,161,35,1980-05-31,1980-06-14,0.0004735
846,838,124,65,31,19,104,71,1980-06-14,1980-06-28,0.0004735
847,832,112,114,47,4,167,98,1980-06-28,1980-07-12,0.0004735
848,930,68,121,76,22,86,178,1980-07-12,1980-07-26,0.0004735
849,873,70,145,98,29,83,118,1980-07-26,1980-08-09,0.0004735
850,491,22,74,66,15,39,93,1980-08-09,1980-08-23,0.0004735
851,234,9,37,22,13,29,47,1980-08-23,1980-09-06,0.0004735
852,181,14,20,17,16,20,29,1980-09-06,1980-09-20,0.0004735
853,150,10,23,13,13,18,37,1980-09-20,1980-10-04,0.0004735
854,182,8,27,20,24,19,58,1980-10-04,1980-10-18,0.0004735
855,152,30,26,12,22,20,61,1980-10-18,1980-11-01,0.0004735
856,151,7,26,9,19,17,74,1980-11-01,1980-11-15,0.0004735
857,141,6,40,15,12,15,70,1980-11-15,1980-11-29,0.0004735
858,133,4,21,15,7,10,55,1980-11-29,1980-12-13,0.0004735
859,112,1,17,15,6,11,74,1980-12-13,1980-12-27,0.0004735
860,171,1,37,14,17,9,83,1980-12-27,1981-01-10,0.0004735
861,106,9,38,12,16,10,47,1981-01-10,1981-01-24,0.00047976923076923077
862,121,3,27,12,15,9,58,1981-01-24,1981-02-07,0.00047976923076923077
863,110,5,27,49,29,9,49,1981-02-07,1981-02-21,0.00047976923076923077
864,128,3,33,44,21,8,55,1981-02-21,1981-03-07,0.00047976923076923077
865,112,4,53,31,21,25,56,1981-03-07,1981-03-21,0.00047976923076923077
866,135,3,64,47,30,19,47,1981-03-21,1981-04-04,0.00047976923076923077
867,135,6,63,64,23,13,39,1981-04-04,1981-04-18,0.00047976923076923077
868,143,5,113,48,25,28,34,1981-04-18,1981-05-02,0.00047976923076923077
869,163,10,82,73,26,20,43,1981-05-02,1981-05-16,0.00047976923076923077
870,141,9,81,79,23,21,35,1981-05-16,1981-05-30,0.00047976923076923077
871,168,6,101,65,12,18,28,1981-05-30,1981-06-13,0.00047976923076923077
872,162,4,78,39,10,30,31,1981-06-13,1981-06-27,0.00047976923076923077
873,188,3,61,40,12,38,30,1981-06-27,1981-07-11,0.00047976923076923077
874,222,3,73,49,16,50,30,1981-07-11,1981-07-25,0.00047976923076923077
875,211,7,77,43,23,23,20,1981-07-25,1981-08-08,0.00047976923076923077
876,181,11,37,70,14,44,21,1981-08-08,1981-08-22,0.00047976923076923077
877,122,5,22,15,21,17,14,1981-08-22,1981-09-05,0.00047976923076923077
878,84,1,11,20,6,27,12,1981-09-05,1981-09-19,0.00047976923076923077
879,70,3,16,23,9,34,4,1981-09-19,1981-10-03,0.00047976923076923077
880,77,1,19,20,8,38,6,1981-10-03,1981-10-17,0.00047976923076923077
881,91,4,28,7,14,54,11,1981-10-17,1981-10-31,0.00047976923076923077
882,105,0,20,13,23,59,8,1981-10-31,1981-11-14,0.00047976923076923077
883,120,1,38,20,10,49,9,1981-11-14,1981-11-28,0.00047976923076923077
884,128,0,25,13,5,56,9,1981-11-28,1981-12-12,0.00047976923076923077
885,113,1,20,10,4,58,8,1981-12-12,1981-12-26,0.00047976923076923077
886,176,1,44,8,6,74,9,1981-12-26,1982-01-09,0.00047976923076923077
887,228,2,25,13,10,79,12,1982-01-09,1982-01-23,0.00048607692307692306
888,287,2,27,13,8,105,6,1982-01-23,1982-02-06,0.00048607692307692306
889,450,8,18,10,9,137,5,1982-02-06,1982-02-20,0.00048607692307692306
890,602,0,25,13,7,148,9,1982-02-20,1982-03-06,0.00048607692307692306
891,570,3,11,28,16,225,11,1982-03-06,1982-03-20,0.00048607692307692306
892,711,2,27,34,32,239,7,1982-03-20,1982-04-03,0.00048607692307692306
893,782,4,26,21,7,213,12,1982-04-03,1982-04-17,0.00048607692307692306
894,1013,22,22,23,39,196,13,1982-04-17,1982-05-01,0.00048607692307692306
895,731,23,16,13,12,147,8,1982-05-01,1982-05-15,0.00048607692307692306
896,762,20,14,9,30,149,9,1982-05-15,1982-05-29,0.00048607692307692306
897,769,15,14,12,56,157,26,1982-05-29,1982-06-12,0.00048607692307692306
898,680,31,49,25,34,135,22,1982-06-12,1982-06-26,0.00048607692307692306
899,626,32,28,24,45,146,37,1982-06-26,1982-07-10,0.00048607692307692306
900,713,25,40,27,24,141,74,1982-07-10,1982-07-24,0.00048607692307692306
901,564,72,32,51,42,108,71,1982-07-24,1982-08-07,0.00048607692307692306
902,465,57,29,27,25,99,77,1982-08-07,1982-08-21,0.00048607692307692306
903,235,39,22,19,8,40,45,1982-08-21,1982-09-04,0.00048607692307692306
904,247,28,10,28,6,28,43,1982-09-04,1982-09-18,0.00048607692307692306
905,165,37,15,20,2,20,28,1982-09-18,1982-10-02,0.00048607692307692306
906,122,36,4,10,9,24,23,1982-10-02,1982-10-16,0.00048607692307692306
907,189,32,12,10,5,30,33,1982-10-16,1982-10-30,0.00048607692307692306
908,135,53,13,18,7,38,40,1982-10-30,1982-11-13,0.00048607692307692306
909,191,57,18,23,18,34,69,1982-11-13,1982-11-27,0.00048607692307692306
910,236,42,16,31,29,30,59,1982-11-27,1982-12-11,0.00048607692307692306
911,226,60,24,18,27,36,54,1982-12-11,1982-12-25,0.00048607692307692306
912,263,38,15,73,34,29,59,1982-12-25,1983-01-08,0.00048607692307692306
913,338,48,29,45,38,36,101,1983-01-08,1983-01-22,0.0004923846153846153
914,377,25,25,40,36,30,84,1983-01-22,1983-02-05,0.0004923846153846153
915,433,21,33,44,30,45,125,1983-02-05,1983-02-19,0.0004923846153846153
916,472,26,37,58,50,52,170,1983-02-19,1983-03-05,0.0004923846153846153
917,541,44,69,105,59,46,164,1983-03-05,1983-03-19,0.0004923846153846153
918,487,51,77,73,42,31,108,1983-03-19,1983-04-02,0.0004923846153846153
919,659,69,99,107,42,67,123,1983-04-02,1983-04-16,0.0004923846153846153
920,561,53,73,96,23,65,75,1983-04-16,1983-04-30,0.0004923846153846153
921,609,79,91,61,21,64,90,1983-04-30,1983-05-14,0.0004923846153846153
922,652,82,116,84,24,82,93,1983-05-14,1983-05-28,0.0004923846153846153
923,675,67,98,96,20,85,51,1983-05-28,1983-06-11,0.0004923846153846153
924,626,64,102,86,35,96,63,1983-06-11,1983-06-25,0.0004923846153846153
925,432,27,85,77,24,93,80,1983-06-25,1983-07-09,0.0004923846153846153
926,552,23,117,86,16,92,109,1983-07-09,1983-07-23,0.0004923846153846153
927,395,8,58,89,11,59,40,1983-07-23,1983-08-06,0.0004923846153846153
928,228,11,37,56,17,59,45,1983-08-06,1983-08-20,0.0004923846153846153
929,143,8,15,20,12,40,19,1983-08-20,1983-09-03,0.0004923846153846153
930,83,7,28,8,7,43,2,1983-09-03,1983-09-17,0.0004923846153846153
931,88,4,17,23,6,24,10,1983-09-17,1983-10-01,0.0004923846153846153
932,72,7,19,14,4,43,5,1983-10-01,1983-10-15,0.0004923846153846153
933,73,6,15,10,5,52,5,1983-10-15,1983-10-29,0.0004923846153846153
934,68,6,18,24,13,48,4,1983-10-29,1983-11-12,0.0004923846153846153
935,71,3,25,6,5,62,3,1983-11-12,1983-11-26,0.0004923846153846153
936,107,4,14,17,5,79,3,1983-11-26,1983-12-10,0.0004923846153846153
937,70,2,15,13,6,111,13,1983-12-10,1983-12-24,0.0004923846153846153
938,132,1,13,11,12,82,13,1983-12-24,1984-01-07,0.0004923846153846153
939,133,5,20,25,5,122,24,1984-01-07,1984-01-21,0.0004995769230769231
940,114,4,16,11,7,74,30,1984-01-21,1984-02-04,0.0004995769230769231
941,171,21,32,11,1,121,40,1984-02-04,1984-02-18,0.0004995769230769231
942,139,10,22,46,12,172,36,1984-02-18,1984-03-03,0.0004995769230769231
943,154,8,36,31,5,136,35,1984-03-03,1984-03-17,0.0004995769230769231
944,135,10,39,33,2,163,26,1984-03-17,1984-03-31,0.0004995769230769231
945,150,12,50,47,4,156,38,1984-03-31,1984-04-14,0.0004995769230769231
946,89,7,32,27,5,94,23,1984-04-14,1984-04-28,0.0004995769230769231
947,100,5,38,47,3,117,22,1984-04-28,1984-05-12,0.0004995769230769231
948,151,9,35,42,6,139,35,1984-05-12,1984-05-26,0.0004995769230769231
949,174,7,29,36,5,121,30,1984-05-26,1984-06-09,0.0004995769230769231
950,233,5,46,52,5,138,45,1984-06-09,1984-06-23,0.0004995769230769231
951,266,10,38,37,5,69,15,1984-06-23,1984-07-07,0.0004995769230769231
952,292,5,38,56,2,85,20,1984-07-07,1984-07-21,0.0004995769230769231
953,351,3,40,34,1,45,21,1984-07-21,1984-08-04,0.0004995769230769231
954,302,3,39,42,4,39,7,1984-08-04,1984-08-18,0.0004995769230769231
955,170,2,23,23,6,59,17,1984-08-18,1984-09-01,0.0004995769230769231
956,115,1,25,13,5,15,4,1984-09-01,1984-09-15,0.0004995769230769231
957,86,0,17,10,3,12,9,1984-09-15,1984-09-29,0.0004995769230769231
958,151,5,31,7,11,19,4,1984-09-29,1984-10-13,0.0004995769230769231
959,126,2,30,11,12,20,6,1984-10-13,1984-10-27,0.0004995769230769231
960,194,2,60,19,11,13,3,1984-10-27,1984-11-10,0.0004995769230769231
961,140,1,59,16,22,18,9,1984-11-10,1984-11-24,0.0004995769230769231
962,175,0,48,21,29,11,2,1984-11-24,1984-12-08,0.0004995769230769231
963,142,4,35,60,22,23,10,1984-12-08,1984-12-22,0.0004995769230769231
964,167,3,44,28,35,16,14,1984-12-22,1985-01-05,0.0004995769230769231
965,313,2,67,44,42,15,25,1985-01-05,1985-01-19,0.0005067692307692308
966,284,0,67,17,18,24,8,1985-01-19,1985-02-02,0.0005067692307692308
967,419,6,87,47,34,26,36,1985-02-02,1985-02-16,0.0005067692307692308
968,533,5,101,45,20,32,39,1985-02-16,1985-03-02,0.0005067692307692308
969,537,19,77,38,18,21,39,1985-03-02,1985-03-16,0.0005067692307692308
970,603,17,104,36,15,27,23,1985-03-16,1985-03-30,0.0005067692307692308
971,609,12,88,19,22,33,50,1985-03-30,1985-04-13,0.0005067692307692308
972,812,25,116,24,42,39,51,1985-04-13,1985-04-27,0.0005067692307692308
973,594,31,68,17,19,27,58,1985-04-27,1985-05-11,0.0005067692307692308
974,812,12,108,39,16,56,89,1985-05-11,1985-05-25,0.0005067692307692308
975,915,16,80,38,23,35,110,1985-05-25,1985-06-08,0.0005067692307692308
976,822,17,84,41,8,59,74,1985-06-08,1985-06-22,0.0005067692307692308
977,986,34,63,38,30,55,74,1985-06-22,1985-07-06,0.0005067692307692308
978,995,39,80,50,17,90,70,1985-07-06,1985-07-20,0.0005067692307692308
979,827,69,65,64,19,86,94,1985-07-20,1985-08-03,0.0005067692307692308
980,722,61,54,40,16,55,78,1985-08-03,1985-08-17,0.0005067692307692308
981,438,25,22,49,16,51,55,1985-08-17,1985-08-31,0.0005067692307692308
982,302,13,16,41,9,45,45,1985-08-31,1985-09-14,0.0005067692307692308
983,197,4,11,15,8,59,19,1985-09-14,1985-09-28,0.0005067692307692308
984,232,7,12,28,9,90,14,1985-09-28,1985-10-12,0.0005067692307692308
985,213,7,11,18,18,141,25,1985-10-12,1985-10-26,0.0005067692307692308
986,207,5,11,17,10,132,25,1985-10-26,1985-11-09,0.0005067692307692308
987,155,6,3,9,5,126,18,1985-11-09,1985-11-23,0.0005067692307692308
988,145,9,15,23,2,141,29,1985-11-23,1985-12-07,0.0005067692307692308
989,164,8,3,19,5,121,21,1985-12-07,1985-12-21,0.0005067692307692308
990,182,8,10,32,2,116,32,1985-12-21,1986-01-04,0.0005067692307692308
991,268,14,16,60,7,196,35,1986-01-04,1986-01-18,0.0005139615384615384
992,185,8,13,61,6,162,23,1986-01-18,1986-02-01,0.0005139615384615384
993,256,18,14,62,9,243,20,1986-02-01,1986-02-15,0.0005139615384615384
994,256,36,28,58,21,199,24,1986-02-15,1986-03-01,0.0005139615384615384
995,255,20,32,43,22,199,15,1986-03-01,1986-03-15,0.0005139615384615384
996,335,24,32,56,26,167,29,1986-03-15,1986-03-29,0.0005139615384615384
997,387,11,13,88,46,127,49,1986-03-29,1986-04-12,0.0005139615384615384
998,336,26,41,95,34,93,45,1986-04-12,1986-04-26,0.0005139615384615384
999,275,18,17,63,11,91,43,1986-04-26,1986-05-10,0.0005139615384615384
1000,312,64,24,124,14,112,47,1986-05-10,1986-05-24,0.0005139615384615384
1001,275,24,13,94,6,80,19,1986-05-24,1986-06-07,0.0005139615384615384
1002,302,53,19,103,12,74,49,1986-06-07,1986-06-21,0.0005139615384615384
1003,230,38,24,46,4,76,41,1986-06-21,1986-07-05,0.0005139615384615384
1004,219,42,16,32,3,49,27,1986-07-05,1986-07-19,0.0005139615384615384
1005,163,31,23,44,2,46,23,1986-07-19,1986-08-02,0.0005139615384615384
1006,155,24,13,36,2,46,31,1986-08-02,1986-08-16,0.0005139615384615384
1007,85,11,13,25,4,36,24,1986-08-16,1986-08-30,0.0005139615384615384
1008,95,5,10,11,1,19,21,1986-08-30,1986-09-13,0.0005139615384615384
1009,79,6,10,12,3,19,21,1986-09-13,1986-09-27,0.0005139615384615384
1010,75,4,14,16,1,18,14,1986-09-27,1986-10-11,0.0005139615384615384
1011,85,4,8,9,3,29,13,1986-10-11,1986-10-25,0.0005139615384615384
1012,121,5,8,13,2,23,8,1986-10-25,1986-11-08,0.0005139615384615384
1013,92,10,11,7,3,28,12,1986-11-08,1986-11-22,0.0005139615384615384
1014,117,2,11,6,4,37,15,1986-11-22,1986-12-06,0.0005139615384615384
1015,92,6,13,9,5,36,5,1986-12-06,1986-12-20,0.0005139615384615384
1016,68,1,14,2,0,41,9,1986-12-20,1987-01-03,0.0005139615384615384
1017,163,4,30,13,2,36,13,1987-01-03,1987-01-17,0.0005211538461538462
1018,147,3,16,10,1,33,11,1987-01-17,1987-01-31,0.0005211538461538462
1019,153,9,18,1,3,26,6,1987-01-31,1987-02-14,0.0005211538461538462
1020,158,6,18,13,3,30,13,1987-02-14,1987-02-28,0.0005211538461538462
1021,154,10,21,3,3,36,7,1987-02-28,1987-03-14,0.0005211538461538462
1022,173,6,16,11,2,31,10,1987-03-14,1987-03-28,0.0005211538461538462
1023,257,15,24,9,8,33,16,1987-03-28,1987-04-11,0.0005211538461538462
1024,270,15,22,10,7,33,18,1987-04-11,1987-04-25,0.0005211538461538462
1025,188,15,24,11,2,26,33,1987-04-25,1987-05-09,0.0005211538461538462
1026,176,21,17,11,3,32,18,1987-05-09,1987-05-23,0.0005211538461538462
1027,208,11,25,8,1,39,14,1987-05-23,1987-06-06,0.0005211538461538462
1028,180,21,31,12,8,38,12,1987-06-06,1987-06-20,0.0005211538461538462
1029,194,24,13,20,11,35,19,1987-06-20,1987-07-04,0.0005211538461538462
1030,211,16,23,10,25,68,11,1987-07-04,1987-07-18,0.0005211538461538462
1031,172,12,31,8,17,58,9,1987-07-18,1987-08-01,0.0005211538461538462
1032,167,11,27,7,11,51,22,1987-08-01,1987-08-15,0.0005211538461538462
1033,109,7,21,11,22,68,7,1987-08-15,1987-08-29,0.0005211538461538462
1034,85,10,15,6,1,46,4,1987-08-29,1987-09-12,0.0005211538461538462
1035,96,8,2,3,7,41,3,1987-09-12,1987-09-26,0.0005211538461538462
1036,97,12,8,5,1,59,5,1987-09-26,1987-10-10,0.0005211538461538462
1037,79,5,12,10,6,93,8,1987-10-10,1987-10-24,0.0005211538461538462
1038,120,13,5,22,12,107,6,1987-10-24,1987-11-07,0.0005211538461538462
1039,130,19,24,20,2,135,3,1987-11-07,1987-11-21,0.0005211538461538462
1040,166,21,32,22,7,113,6,1987-11-21,1987-12-05,0.0005211538461538462
1041,95,26,12,14,0,68,2,1987-12-05,1987-12-19,0.0005211538461538462
