,index,zip,outflow
358,144,24592,774504495063.0546
359,83,23885,760277712055.5453
360,538,24441,748362194359.479
361,652,22713,742793628179.2194
362,417,22738,741380475733.3894
363,100,24486,738496323512.9778
364,93,24067,737701895126.6117
365,528,24416,729120286271.7809
366,420,22747,715347413578.5657
367,38,23156,715246494762.334
368,176,22968,709485696636.8909
369,118,24538,707774362933.4242
370,53,23181,697020084486.4441
371,327,23872,693159722291.8744
372,355,24087,691147591801.7521
373,701,24054,690287574565.7845
374,141,24588,686901314297.4803
375,358,24090,684290914920.3046
376,533,24431,675006448012.4337
377,418,22740,674300064758.4098
378,575,23920,672121664479.3524
379,137,24577,671056214334.7507
380,694,23035,670584738589.14
381,692,23027,666153007276.695
382,562,23890,662326198904.6722
383,342,23936,656671367934.1053
384,1,23089,653412501817.4847
385,465,22853,652179947292.7999
386,307,24333,642525294388.1093
387,681,23011,639951068339.1853
388,672,23970,639716914949.6692
389,529,24421,638767680512.1909
390,444,22844,638419465545.8877
391,111,24527,636251360682.5461
392,407,22733,633714863731.7
393,695,23038,628427664068.362
394,696,23040,624337460077.1266
395,530,24422,623327779301.648
396,640,22644,616383897939.9052
397,241,24202,615849132123.271
398,653,22714,607665519883.0099
399,433,23350,593762053521.8547
400,240,24201,593691844194.6553
401,525,24382,591626388144.3864
402,217,24142,591512899294.626
403,0,23086,589640094517.3431
404,219,24148,586658508734.5098
405,309,24343,584764755075.2279
406,234,24174,576821955094.5258
407,673,23974,574920724302.5396
408,625,22623,573317832772.5099
409,577,23922,570558764631.9233
410,579,23924,568312714053.4534
411,457,23420,567526711962.4918
412,439,22832,564936874431.5936
413,106,24517,561557967444.1831
414,442,22842,561536742854.3625
415,97,24479,558317688383.8307
416,325,23867,555138892692.3496
417,350,24083,552925393554.847
418,597,22534,548150465214.56415
419,136,24574,543609442242.97156
420,140,24586,543337697383.1421
421,8,23110,537935075376.5052
422,346,24077,537355964005.07294
423,125,24554,536272394391.60596
424,487,23065,535675853504.391
425,666,23960,533323705546.1975
426,571,22435,530308408866.3743
427,348,24079,528813419493.43555
428,461,23432,521874336088.22705
429,7,23109,517728103240.87305
430,647,22660,512794394705.82947
431,472,22923,510303889881.2306
432,426,22815,510228602582.3189
433,454,23415,508512403292.7078
434,438,22831,502884453352.5484
435,314,24354,502042169685.08704
436,662,23950,501727306956.22504
437,654,22716,494468855011.92303
438,50,23176,493069367644.9023
439,599,22538,492968101432.00726
440,242,24210,491721264004.61865
441,81,23882,491249876212.5393
442,443,22843,489384821551.09064
443,535,24435,486417756495.43536
444,616,22576,485936819035.2072
445,592,22503,482532692320.47876
446,39,23163,477085394220.1993
447,357,24089,475023333384.5369
448,475,22935,473883420931.5908
449,631,22639,468862028389.59436
450,220,24149,468322740857.70746
451,580,22436,460461357565.65015
452,369,24124,458414539881.8517
453,263,23840,453829269998.20703
454,455,23417,453240270396.5919
455,268,23846,446867476079.6592
456,492,23076,446217124583.1935
457,370,24127,436692964706.1838
458,208,23829,431228197261.5602
459,121,24549,430602788106.72205
460,24,23128,429351013850.9752
461,128,24557,429243426909.8793
462,660,23944,428578351753.4235
463,129,24558,425314047667.5221
464,171,22958,423129034862.25
465,589,22482,421027196443.29584
466,458,23421,416671977075.027
467,563,23894,413551869896.4907
468,233,24171,411471899450.7834
469,484,22946,405249823900.67114
470,478,22937,404446728947.6961
471,17,23115,401338477749.20886
472,659,23942,397068026445.408
473,92,24066,395936973252.2221
474,36,23148,394461885024.8246
475,243,24211,391859805788.25104
476,49,23175,388977668817.1705
477,175,22967,383603477075.62225
478,628,22627,378137642220.6875
479,262,23839,376466824482.90594
480,687,22719,374887132020.66846
481,124,24553,373294718730.8356
482,145,24593,369753314039.1341
483,630,22637,366918625930.9032
484,236,24176,365267950067.51605
485,463,22850,364582874531.3651
486,359,24091,363174620944.7245
487,622,22610,362663347923.4209
488,594,22511,361847272773.82007
489,146,24594,360936050299.52795
490,553,24370,356697721094.3064
491,168,24651,354665333684.4048
492,643,22654,353608641012.0318
493,411,23315,351827814367.44586
494,582,22438,347202579593.8658
495,326,23868,343382742937.67126
496,207,23827,343164400032.7861
497,160,24630,339694938076.79865
498,127,24556,338310994805.1621
499,324,23866,337166059607.29663
500,373,24136,334671872107.59454
501,626,22624,333451851312.1944
502,483,22943,331742420792.2515
503,117,24536,331475004876.8283
504,452,23410,331200849560.1733
505,2,23092,323307436577.7891
506,295,24319,320758574638.3737
507,432,23336,318948695919.7921
508,464,22851,318170295166.1368
509,698,23047,317564884396.92694
510,600,22539,314303853680.13544
511,275,24266,311086682686.20825
512,584,22448,310499776228.34625
513,449,23389,309487741078.46326
514,224,24162,308605274827.96075
515,215,24139,307963379478.4983
516,356,24088,307882601785.40674
517,536,24439,307428455711.6425
518,456,23418,304223806831.52246
519,493,23079,303732087853.6018
520,286,24293,297327094604.54266
521,598,23927,295578645635.06854
522,663,23954,293433674490.98663
523,581,22437,292364033084.007
524,72,23488,291746840505.47504
525,697,23043,291725538605.1125
526,147,24597,291430382582.3669
527,495,23084,291091694416.5683
528,172,22959,287524357406.24976
529,437,22830,286823324165.7925
530,343,23937,283101096123.94135
531,133,24566,281676265259.37274
532,248,24224,280580285773.9354
533,368,24122,277358711488.322
534,170,22952,276348791940.6525
535,591,22488,275321050780.4275
536,21,23123,273973332064.82526
537,149,24599,273089534662.92325
538,661,23947,272490990274.63953
539,270,24251,271311634941.6814
540,545,24467,269642395977.46265
541,639,23938,268951812668.66617
542,537,24440,268936459691.6379
543,315,24360,265624224352.50168
544,113,24529,265379832918.95657
