,0,1,2
384,6,0,210.0
385,6,1,175.0
386,6,2,140.0
387,6,3,105.0
388,6,4,70.0
389,6,5,35.0
390,6,6,0.0
391,6,7,35.0
392,6,8,212.8966885604377
393,6,9,178.46568297574746
394,6,10,144.30869689661813
395,6,11,110.67971810589327
396,6,12,78.26237921249263
397,6,13,49.49747468305833
398,6,14,35.0
399,6,15,49.49747468305833
400,6,16,221.35943621178654
401,6,17,188.48076824970764
402,6,18,156.52475842498527
403,6,19,126.19429464123962
404,6,20,98.99494936611666
405,6,21,78.26237921249263
406,6,22,70.0
407,6,23,78.26237921249263
408,6,24,234.7871376374779
409,6,25,204.08331631958552
410,6,26,175.0
411,6,27,148.49242404917499
412,6,28,126.19429464123962
413,6,29,110.67971810589327
414,6,30,105.0
415,6,31,110.67971810589327
416,6,32,252.38858928247924
417,6,33,224.1093483101497
418,6,34,197.9898987322333
419,6,35,175.0
420,6,36,156.52475842498527
421,6,37,144.30869689661813
422,6,38,140.0
423,6,39,144.30869689661813
424,6,40,273.3587386567329
425,6,41,247.48737341529164
426,6,42,224.1093483101497
427,6,43,204.08331631958552
428,6,44,188.48076824970764
429,6,45,178.46568297574746
430,6,46,175.0
431,6,47,178.46568297574746
432,6,48,296.98484809834997
433,6,49,273.3587386567329
434,6,50,252.38858928247924
435,6,51,234.7871376374779
436,6,52,221.35943621178654
437,6,53,212.8966885604377
438,6,54,210.0
439,6,55,212.8966885604377
440,6,56,322.6840560052511
441,6,57,301.0813843464919
442,6,58,282.17902119044925
443,6,59,266.5520587052368
444,6,60,254.80384612481814
445,6,61,247.48737341529164
446,6,62,245.0
447,6,63,247.48737341529164
448,7,0,245.0
449,7,1,210.0
450,7,2,175.0
451,7,3,140.0
452,7,4,105.0
453,7,5,70.0
454,7,6,35.0
455,7,7,0.0
456,7,8,247.48737341529164
457,7,9,212.8966885604377
458,7,10,178.46568297574746
459,7,11,144.30869689661813
460,7,12,110.67971810589327
461,7,13,78.26237921249263
462,7,14,49.49747468305833
463,7,15,35.0
464,7,16,254.80384612481814
465,7,17,221.35943621178654
466,7,18,188.48076824970764
467,7,19,156.52475842498527
468,7,20,126.19429464123962
469,7,21,98.99494936611666
470,7,22,78.26237921249263
471,7,23,70.0
472,7,24,266.5520587052368
473,7,25,234.7871376374779
474,7,26,204.08331631958552
475,7,27,175.0
476,7,28,148.49242404917499
477,7,29,126.19429464123962
478,7,30,110.67971810589327
479,7,31,105.0
480,7,32,282.17902119044925
481,7,33,252.38858928247924
482,7,34,224.1093483101497
483,7,35,197.9898987322333
484,7,36,175.0
485,7,37,156.52475842498527
486,7,38,144.30869689661813
487,7,39,140.0
488,7,40,301.0813843464919
